id,sentence,subject_entity,object_entity,label
502,스냅드래곤 855+ SoC와 아드레노 640 GPU를 활용하며 8 GB의 LPDDR4X RAM과 256 GB의 확장 불가 UFS 3.0 스토리지를 포함한다.,스냅드래곤 855+/VIS,LPDDR4X RAM/VIS,no_relation
508,이로 인해 사고방지를 위해 여신전문금융법이 개정되어 보안이 인증된 IC 단말기를 의무적으로 설치해야 되는 법안이 시행되고 있다.,IC 단말기/POH,여신전문금융법/POH,no_relation
516,라즈베리파이는 초소형 컴퓨터 모듈로 가격이 평균 35달러에 불과하다.,라즈베리파이/VIS,평균 35달러/NOH,vis : property
517,"틱톡(, , 더우인)은 장위밍(Zhang Yiming)이 2012년에 설립한 IT 기업 바이트댄스(ByteDance)가 소유하고 있는 글로벌 개인정보 갈취, 숏폼비디오 플랫폼이며 백도어이다.",틱톡/INV,숏폼비디오 플랫폼/POH,inv : property
527,"2011년 9월부터 리눅스재단에 의해 발표된 제 3의 모바일 운영체제이며, 스마트폰과 태블릿, 스마트TV나 넷북 등 다양한 기기에서 작동하는 표준 기반의 개방형 모바일 운영체제로서, 모든 API는 HTML5와 자바스크립트, CSS와 같은 웹표준을 지원한다.",제 3의 모바일 운영체제/INV,2011년 9월/DAT,inv : rdpd
535,틱톡은 2016년 9월 출시한 지 3년 만에 8억 명의 실사용자를 기록했다.,틱톡/INV,8억 명/NOH,inv : nou
536,틱톡 사용자들 중 90%가 매일 앱을 사용한다고 응답했으며 틱톡에 따르면 2020년 7월 현재 미국에만 월 9천만 명 이상의 활성 사용자가 있다고 한다.,앱/INV,틱톡 사용자들 중 90%/NOH,inv : nou
538,"2006년, 폴리머 비전은 모바일 월드 콩그레스(MWC)에서 Readius라는 롤러블 콘셉트 폴더블 스마트폰을 보여주었다.",Readius/VIS,롤러블 콘셉트 폴더블 스마트폰/VIS,vis : an
544,"이는 틱톡의 인공지능(AI)이 사용자가 어떤 종류의 콘텐츠를 좋아했는지, 누구와 상호작용했는지, 무엇을 검색했는지를 분석하여 콘텐츠가 생성된다.",틱톡/INV,인공지능/INV,inv : ft
561,틱톡에는 사용자의 댓글을 바탕으로 동영상을 만드는 기능도 있다.,틱톡/INV,사용자의 댓글을 바탕으로 동영상을 만드는 기능/INV,inv : func
565,불편을 호소하는 사용자가 증가하자 카카오톡은 신고된 사용자를 즉각 이용정지 처리하고 있다.,카카오톡/ORG,사용자/PER,no_relation
578,"미국의 도널드 트럼프 대통령은 2020년 7월 31일 전용기인 에어포스원에서 기자들에게 ""틱톡이 미국인들의 개인정보를 중국정부에 제공하는 등의 위법행위를 하고 있고, 이에 따라 우리는 미국에서 사용을 막을 것""이라며 비상경제권법이나 행정명령을 동원할 수 있다고 밝혀, 논란이 되고있다.",에어포스원/POH,도널드 트럼프 대통령/PER,no_relation
581,"도메인에서는 시스코가 (http://www.iphone.net/) 이란 도메인을 1998년 1월부터, (http://www.iphone.org/)이란 도메인은 1999년 12월부터 애플이 가지고 있다. (http://iphone.com) 도메인은 애플과 시스코와 무관한 Internet Phone Company LLC이란 VoIP 업체가 1995년부터 소유하고 있었고 2010년 기준으로 애플이 소유하고 있다.",http://www.iphone.net//POH,1999년 12월/DAT,no_relation
584,"불행히도 몇 개월이 되지 않아 부동산 시장에 불황이 닥쳤으며, 잡스 가족은 약 2년 동안 재정적으로 어려운 시기를 보냈다.",부동산 시장/POH,2년/NOH,no_relation
594,"아이클러는 깨끗하고 심플하면서도 저렴한 주택들을 지었으며, 잡스는 아이클러의 깔끔한 디자인이 애플 컴퓨터가 애초부터 추구했던 디자인이라 밝혔다.",애플 컴퓨터/VIS,깔끔한 디자인/POH,no_relation
595,2017년까지 아이폰은 전면 패널에 사용자를 홈 스크린으로 복귀시키는 하나의 버튼을 갖춘 레이아웃을 사용하였다.,아이폰/VIS,홈 스크린/POH,no_relation
597,"하나는 그린, 블루, 옐로, 핑크, 화이트 색상의 아이폰 5C, 그리고 나머지 하나는 블랙, 화이트, 골드 색상의 아이폰 5S이다.",아이폰 5S/VIS,핑크/POH,no_relation
604,"잡스는 이 클럽에서 거대한 몸집의 컴퓨터들을 볼 수 있었고, 잡스는 이 컴퓨터를 아주 인상적으로 바라보았다.",컴퓨터/VIS,거대한 몸집/POH,vis : property
605,캘리그래피 강의는 이후 트루타입 폰트를 애플 제품에 적용하면서 수려한 글자체를 만들어 내는 데 도움이 많이 되었다고 한다.,애플 제품/VIS,트루타입 폰트/POH,vis : property
624,아이폰의 고질적인 문제로 탈옥 문제가 꼽힌다.,아이폰/VIS,탈옥/POH,vis : property
626,"액정(液晶, , LCs)은 전통적인 액체와 고체 결정 사이의 특성을 지니는 물질의 상태이다.",액정/VIS,액체와 고체 결정 사이의 특성/POH,vis : property
630,"즉, 액정은 크게 나누어서 이방성을 가지는 액체, 1차원적 중심성을 가지고 있는 2차원적 액체, 2차원적 중심성을 가지고 있는 1차원적 액체로 총 3가지 종류가 있다.",액정/VIS,1차원적 중심성/POH,vis : property
634,액정은 크게 열방성액정()과 유방성액정()으로 분류된다.,액정/VIS,유방성/POH,vis : property
639,9100A라고 불린 그것은 사실 계산기를 미화해 말하는 것이었지만 진정 최초의 데스크톱 컴퓨터이기도 했지요. 20킬로그램 정도 되는 거대한 몸집이었지만 정말 아름다웠어요.,데스크톱 컴퓨터/VIS,20킬로그램/NOH,vis : property
641,"아이폰 11 프로가 새로운 18W 라이트닝 고속 충전기를 포함하는 반면, 아이폰 11은 이전 아이폰에서 볼 수 있는 동일한 5W 충전기가 포함된다.",라이트닝 고속 충전기/VIS,18W/NOH,vis : property
645,"두 장치 모두 전작에 비해 더 큰 화면을 제공하며 각각 4.7인치, 5.5인치이다.",장치/VIS,4.7인치/NOH,vis : property
650,성능 저하 논란 (배터리 게이트).,배터리/VIS,성능 저하/NOH,vis : property
672,그 뒤로 애플은 해마다 새로운 아이폰 모델과 iOS 업데이트를 출시해왔다.,애플/ORG,iOS/INV,org : produce
675,"애플 페이(Apple Pay)는 애플이 제공하는 모바일 결제 서비스로 사용자가 직접 iOS 앱에서, 그리고 웹에서 지불할 수 있다.",애플/ORG,애플 페이/INV,org : produce
688,"1974년 2월, 잡스는 캘리포니아주 로스앨터스의 부모님 댁으로 돌아가 직장을 구하기 시작했고, 구인 광고에 “즐기면서 돈 버는 곳”이라고 적혀 있었던 비디오게임 제조사 아타리의 로비에 들어가 채용해 줄 때까지 버티고 있겠다고 고집을 부렸고, 결국 아타리의 공동 창업자이자 수석 엔지니어였던 앨 알콘에 의해 고용된다.",아타리/ORG,앨 알콘/PER,org : employees
692,"그리고 애플을 설립하고 자신의 집 차고부터 사옥에 이르기까지 발전시켰으나, 이후 매킨토시 프로젝트 등이 실패하면서 결국 애플에서 쫓겨나나, 이후 애플은 지독한 적자를 겪다가 결국 다시 스티브 잡스를 CEO로 맡는다.",애플/ORG,스티브 잡스/PER,org : employees
713,"애플은 2009년 6월 8일 아이폰 3GS를 발표하였고 6월 19일 미국, 캐나다, 주요 유럽 국가들을 기점으로 6월, 7월, 8월에 출시를 예정하였다.",아이폰 3GS/VIS,2009년 6월 8일/DAT,vis : rdpd
715,"2012년 9월 12일, 애플은 아이폰 5를 발표하였다.",아이폰 5/VIS,2012년 9월 12일/DAT,vis : rdpd
723,"2020년 10월 15일, 애플은 아이폰 12와 아이폰 12 미니를 공식 유튜브 계정을 통해 온라인상에 공개하였으며, 그 외에 아이폰 12 프로와 아이폰 12 프로 맥스도 공개되었다.",아이폰 12 미니/VIS,2020년 10월 15일/DAT,vis : rdpd
724,"2020년 10월 15일, 애플은 아이폰 12와 아이폰 12 미니를 공식 유튜브 계정을 통해 온라인상에 공개하였으며, 그 외에 아이폰 12 프로와 아이폰 12 프로 맥스도 공개되었다.",아이폰 12 프로/VIS,2020년 10월 15일/DAT,vis : rdpd
740,액정이라는 용어가 정착되지 않았던 1960년대에는 액체 수정이라는 명칭이 사용된 적도 있다.,액정/VIS,액체 수정/VIS,vis : an
743,"열방성액정은 온도전이형, 유방성액정은 농도전이형이라 부른다.",유방성액정/VIS,농도전이형/VIS,vis : an
753,"이렇게 통신사에 타격을 주는 애플리케이션도 유통시키는 것은 애플이 통신사와 독립된 관계에 있기 때문이며, 이는 친(親) 통신사 정책을 펴는 대한민국 휴대폰 제조사들이나, 안드로이드 운영 체제를 탑재한 휴대전화에서는 보기 힘든 모습이기도 하다. 하지만 자사와 직접적인 경쟁관계에 있는 구글의 제품인 구글 보이스의 경우 ""아이폰의 기본 기능과 중복되기 때문에 앱스토어 등록을 거부""한 이후 등록되지 않는 등 자사의 이익과 관련된 애플리케이션은 차단하는 정책을 이어가고 있다.",휴대전화/VIS,안드로이드 운영 체제/INV,vis : ft
769,아이폰 11은 iOS 13을 포함하였다.,아이폰 11/VIS,iOS 13/INV,vis : comp
777,"아이폰 런칭 이후 더 많은 기능들이 추가되었는데, 여기에는 더 큰 화면 크기, 동영상 촬영, 방수 기능, 앱 스토어를 경유한 서드파티 모바일 앱의 설치 기능, 접근성 지원이 포함된다.",아이폰/VIS,동영상 촬영/INV,vis : func
778,"아이폰 런칭 이후 더 많은 기능들이 추가되었는데, 여기에는 더 큰 화면 크기, 동영상 촬영, 방수 기능, 앱 스토어를 경유한 서드파티 모바일 앱의 설치 기능, 접근성 지원이 포함된다.",아이폰/VIS,방수/INV,vis : func
783,아이폰은 애플리케이션을 통해서 3G나 와이파이망에 접속하여 인터넷 전화를 사용할 수 있다.,아이폰/VIS,인터넷 전화/INV,vis : func
785,애플은 2010년 6월부터 아이폰에 탑재된 GPS 시스템을 이용해 사용자들의 위치정보를 저장시켜온 것으로 드러났다.,아이폰/VIS,GPS 시스템/INV,vis : func
786,"애플 페이는 아이폰, 애플 워치, 아이패드 및 맥과 같은 Apple 장치에서 지원된다.",아이폰/VIS,애플 페이/INV,vis : func
809,2011년 1월에는 잡스의 건강이 다시 악화되어 병가를 냈다. 이에 따라 애플의 주가는 6.5% 급락했다.,애플/ORG,잡스/PER,no_relation
810,"잡스는 언론에 보도된 것 보다는 건강한 모습을 보여 경영에 문제가 없음을 과시했으나, 이후 다시 병세가 급속히 악화되어 같은 해 8월 애플 CEO직을 사임하고, 췌장암으로 2011년 10월 5일, 향년 56세로 세상을 떠났다.",애플/ORG,잡스/PER,no_relation
820,"대학 진학을 결정해야 될 시기가 되자 잡스는 잡스 부부에게 대학교에 진학하지 않겠다고 선언했다. 하지만 17년 전에 잡스 부부는 입양한 아이를 꼭 대학에 보내겠다고 약속하였고, 잡스의 대학 진학을 위해 학자금을 어느 정도 모아 둔 상태였으므로 잡스를 설득하였다.",대학/ORG,17년/NOH,no_relation
825,"애플은 당시 싱귤러 와이어리스(Cingular Wireless→AT&amp;T 모빌리티가 됨)와의 비밀스러운 협업 중에 이 장치를 개발하였으며 개발 비용은 30개월에 150,000,000 달러로 추산된다.",싱귤러 와이어리스/ORG,30개월/NOH,no_relation
829,"애플은 고객, 판매자, 은행 사이에 머무르는 사용량을 추적하지 않을 것이라고 덧붙였다.",은행/ORG,사용량/POH,no_relation
836,애플1은 모니터도 없고 디자인도 투박했으나 의외로 큰 반응을 보이며 판매에 성공했고 그에 힘입어 1980년에는 주식을 공개했다.,애플1/VIS,모니터/VIS,no_relation
